Ticket ID,User Query,Category
T824,How do I get a refund?,General Inquiry
T825,Need help with my order,Payment Issue
T826,Delivery delayed,General Inquiry
T827,Product is defective,Product Quality
T828,How do I get a refund?,General Inquiry
T829,Payment issue occurred,Support
T830,Product is defective,Support
T831,Product is defective,Delivery Issue
T832,Delivery delayed,Support
T833,How do I get a refund?,Support
T834,Product is defective,Delivery Issue
T835,How do I get a refund?,General Inquiry
T836,Product is defective,Delivery Issue
T837,Delivery delayed,Support
T838,Product is defective,Product Quality
T839,How do I get a refund?,Product Quality
T840,How do I get a refund?,Payment Issue
T841,Need help with my order,Support
T842,Delivery delayed,Delivery Issue
T843,Product is defective,Product Quality
T844,Need help with my order,Support
T845,Payment issue occurred,Product Quality
T846,Delivery delayed,Delivery Issue
T847,Delivery delayed,Product Quality
T848,Need help with my order,Product Quality
T849,Need help with my order,Product Quality
T850,Product is defective,Product Quality
T851,Product is defective,Payment Issue
T852,Payment issue occurred,Payment Issue
T853,Product is defective,Product Quality
T854,How do I get a refund?,Payment Issue
T855,Payment issue occurred,Product Quality
T856,Need help with my order,Support
T857,Product is defective,Delivery Issue
T858,Need help with my order,Delivery Issue
T859,Delivery delayed,Support
T860,Need help with my order,Product Quality
T861,Delivery delayed,Delivery Issue
T862,Need help with my order,Delivery Issue
T863,How do I get a refund?,General Inquiry
T864,Need help with my order,Support
T865,Product is defective,Product Quality
T866,Product is defective,Product Quality
T867,Need help with my order,Delivery Issue
T868,Need help with my order,General Inquiry
T869,Need help with my order,General Inquiry
T870,How do I get a refund?,Delivery Issue
T871,How do I get a refund?,Delivery Issue
T872,How do I get a refund?,Support
T873,How do I get a refund?,Product Quality
T874,Need help with my order,Delivery Issue
T875,How do I get a refund?,Delivery Issue
T876,Need help with my order,Payment Issue
T877,Product is defective,General Inquiry
T878,How do I get a refund?,Support
T879,How do I get a refund?,General Inquiry
T880,Product is defective,Support
T881,How do I get a refund?,Payment Issue
T882,How do I get a refund?,General Inquiry
T883,Payment issue occurred,General Inquiry
T884,Product is defective,Delivery Issue
T885,Delivery delayed,Delivery Issue
T886,How do I get a refund?,Payment Issue
T887,Product is defective,Support
T888,Need help with my order,Payment Issue
T889,How do I get a refund?,Product Quality
T890,Product is defective,Product Quality
T891,Payment issue occurred,Support
T892,Delivery delayed,Payment Issue
T893,How do I get a refund?,Payment Issue
T894,Payment issue occurred,Support
T895,Delivery delayed,Support
T896,Payment issue occurred,Payment Issue
T897,Need help with my order,Payment Issue
T898,Delivery delayed,Product Quality
T899,How do I get a refund?,Product Quality
T900,Product is defective,General Inquiry
T901,Product is defective,Payment Issue
T902,Delivery delayed,Product Quality
T903,Need help with my order,General Inquiry
T904,How do I get a refund?,Delivery Issue
T905,Delivery delayed,Delivery Issue
T906,How do I get a refund?,Support
T907,Need help with my order,Delivery Issue
T908,Need help with my order,Product Quality
T909,How do I get a refund?,Payment Issue
T910,How do I get a refund?,Delivery Issue
T911,Delivery delayed,Support
T912,Payment issue occurred,Support
T913,Product is defective,Delivery Issue
T914,Payment issue occurred,General Inquiry
T915,Need help with my order,Support
T916,How do I get a refund?,Delivery Issue
T917,How do I get a refund?,Product Quality
T918,Product is defective,General Inquiry
T919,Payment issue occurred,General Inquiry
T920,Payment issue occurred,General Inquiry
T921,How do I get a refund?,General Inquiry
T922,Delivery delayed,Payment Issue
T923,Payment issue occurred,Support
T924,Need help with my order,General Inquiry
T925,Payment issue occurred,Delivery Issue
T926,How do I get a refund?,General Inquiry
T927,Delivery delayed,Delivery Issue
T928,Delivery delayed,Product Quality
T929,Need help with my order,Support
T930,Product is defective,Delivery Issue
T931,Product is defective,General Inquiry
T932,Payment issue occurred,Delivery Issue
T933,Payment issue occurred,Support
T934,Payment issue occurred,Support
T935,Product is defective,Delivery Issue
T936,Need help with my order,General Inquiry
T937,Need help with my order,Product Quality
T938,Need help with my order,Product Quality
T939,Product is defective,General Inquiry
T940,Product is defective,Payment Issue
T941,Payment issue occurred,Product Quality
T942,Product is defective,Delivery Issue
T943,Delivery delayed,Support
T944,Delivery delayed,Delivery Issue
T945,Need help with my order,Support
T946,Delivery delayed,Payment Issue
T947,How do I get a refund?,Delivery Issue
T948,Product is defective,Support
T949,Need help with my order,General Inquiry
T950,Product is defective,Delivery Issue
T951,Product is defective,Delivery Issue
T952,Product is defective,General Inquiry
T953,Payment issue occurred,General Inquiry
T954,Need help with my order,Support
T955,Product is defective,Product Quality
T956,How do I get a refund?,General Inquiry
T957,Payment issue occurred,Product Quality
T958,How do I get a refund?,Product Quality
T959,Product is defective,Delivery Issue
T960,Delivery delayed,Support
T961,Product is defective,Delivery Issue
T962,How do I get a refund?,Support
T963,Need help with my order,Payment Issue
T964,Product is defective,Delivery Issue
T965,Need help with my order,General Inquiry
T966,Payment issue occurred,Payment Issue
T967,Need help with my order,Payment Issue
T968,How do I get a refund?,Support
T969,Product is defective,Support
T970,Payment issue occurred,Product Quality
T971,How do I get a refund?,Product Quality
T972,Delivery delayed,Delivery Issue
T973,Delivery delayed,General Inquiry
T974,Payment issue occurred,General Inquiry
T975,Payment issue occurred,Product Quality
T976,Product is defective,Support
T977,Payment issue occurred,Payment Issue
T978,Delivery delayed,Product Quality
T979,Payment issue occurred,Support
T980,Payment issue occurred,Payment Issue
T981,Payment issue occurred,General Inquiry
T982,Delivery delayed,Product Quality
T983,Need help with my order,Support
T984,Need help with my order,Support
T985,How do I get a refund?,Delivery Issue
T986,Need help with my order,Delivery Issue
T987,Payment issue occurred,Payment Issue
T988,Delivery delayed,Support
T989,Delivery delayed,Support
T990,Need help with my order,Delivery Issue
T991,Payment issue occurred,Support
T992,Product is defective,Product Quality
T993,Payment issue occurred,Payment Issue
T994,Product is defective,General Inquiry
T995,Delivery delayed,Payment Issue
T996,How do I get a refund?,Delivery Issue
T997,How do I get a refund?,Support
T998,How do I get a refund?,General Inquiry
T999,How do I get a refund?,Payment Issue
T1000,Payment issue occurred,Payment Issue
